cycle_no,timestamp,motor_id,rpm,temperature_C,vibration_mm_s,current_A,voltage_V,power_W,torque_Nm,failure
33,2025-01-01 08:32:00,BLM_02,2854.0,55.886,2.0799,11.36,48.41,557.19,2.37,0
34,2025-01-01 08:33:00,BLM_02,3132.0,61.958,2.1002,15.06,50.11,550.08,1.58,0
35,2025-01-01 08:34:00,BLM_03,3234.0,65.27999999999999,3.1105,13.48,47.69,589.78,1.23,0
36,2025-01-01 08:35:00,BLM_02,3021.0,55.082,2.2108000000000003,11.22,45.19,537.12,1.7,0
37,2025-01-01 08:36:00,BLM_03,2682.0,69.434,3.6311,14.35,51.06,528.06,1.85,0
38,2025-01-01 08:37:00,BLM_03,2947.0,66.89599999999999,3.2114000000000003,12.51,46.54,505.42,1.81,0
39,2025-01-01 08:38:00,BLM_01,3187.0,68.798,2.2517,14.96,46.67,563.88,1.84,0
40,2025-01-01 08:39:00,BLM_03,3089.0,65.1,1.242,11.86,48.58,502.48,1.48,0
41,2025-01-01 08:40:00,BLM_01,2972.0,57.032000000000004,1.4923,11.47,44.73,518.16,1.82,0
42,2025-01-01 08:41:00,BLM_03,3235.0,65.084,2.1726,13.78,48.6,644.68,1.55,0
43,2025-01-01 08:42:00,BLM_03,3133.0,69.446,2.7929,12.45,50.37,580.33,2.03,0
44,2025-01-01 08:43:00,BLM_01,3147.0,56.758,3.2832,13.0,51.95,568.16,1.51,0
45,2025-01-01 08:44:00,BLM_01,2926.0,57.31,2.3635,10.45,49.85,517.58,1.78,0
46,2025-01-01 08:45:00,BLM_03,2909.0,63.372,1.8938,14.11,50.68,584.71,1.6,0
47,2025-01-01 08:46:00,BLM_02,2694.0,62.494,2.4141,13.77,46.4,504.25,2.04,0
48,2025-01-01 08:47:00,BLM_01,2953.0,64.986,2.5244,14.43,50.06,481.36,1.68,0
49,2025-01-01 08:48:00,BLM_02,3168.0,63.058,3.4247,9.55,47.52,525.13,1.54,0
50,2025-01-01 08:49:00,BLM_02,2963.0,66.22,3.3850000000000002,9.91,50.9,496.91,2.06,0
51,2025-01-01 08:50:00,BLM_02,3080.0,73.652,1.8153000000000001,10.66,48.26,570.93,1.3,0
52,2025-01-01 08:51:00,BLM_01,3200.0,68.874,2.8356,11.57,50.69,566.47,1.97,0
53,2025-01-01 08:52:00,BLM_02,3067.0,65.496,1.9159,9.6,48.4,560.27,1.88,0
54,2025-01-01 08:53:00,BLM_01,3085.0,57.358,1.9362,13.15,46.08,576.26,2.43,0
55,2025-01-01 08:54:00,BLM_02,2756.0,60.06,3.2465,11.21,48.1,574.3,1.96,0
56,2025-01-01 08:55:00,BLM_03,2942.0,71.002,2.3768,14.26,47.17,519.54,1.93,0
57,2025-01-01 08:56:00,BLM_03,3311.0,61.833999999999996,2.9671000000000003,15.78,51.24,571.6,1.59,0
58,2025-01-01 08:57:00,BLM_01,3019.0,58.346,2.8874,10.93,44.61,564.12,1.75,0
59,2025-01-01 08:58:00,BLM_03,3341.0,79.80799999999999,2.4577,10.62,43.81,522.28,1.87,0
60,2025-01-01 08:59:00,BLM_03,2870.0,75.79,2.7479999999999998,13.35,48.73,533.9,2.16,0
61,2025-01-01 09:00:00,BLM_02,3042.0,64.252,2.6583,12.17,47.19,588.36,1.61,0
62,2025-01-01 09:01:00,BLM_01,2931.0,57.544000000000004,1.7086,12.67,45.14,490.81,1.34,0
63,2025-01-01 09:02:00,BLM_02,3107.0,70.186,2.8588999999999998,14.39,47.91,565.01,1.82,0
64,2025-01-01 09:03:00,BLM_02,3161.0,61.698,2.0292,11.51,48.67,545.13,1.4,0
65,2025-01-01 09:04:00,BLM_02,3108.0,71.35,1.7695,10.08,51.07,548.73,2.0,0
66,2025-01-01 09:05:00,BLM_02,3188.0,61.711999999999996,3.1198,9.79,43.37,537.23,2.18,0
67,2025-01-01 09:06:00,BLM_02,2998.0,76.654,2.1100999999999996,11.68,48.46,568.95,2.06,0
68,2025-01-01 09:07:00,BLM_02,2966.0,61.506,3.3004,11.37,52.1,479.04,1.67,0
69,2025-01-01 09:08:00,BLM_02,2684.0,81.688,3.2907,13.56,51.98,561.35,2.21,0
70,2025-01-01 09:09:00,BLM_01,3115.0,66.51,2.191,14.51,48.23,502.81,1.61,0
71,2025-01-01 09:10:00,BLM_03,3031.0,74.832,3.2713,14.5,46.52,596.42,1.55,0
72,2025-01-01 09:11:00,BLM_02,2988.0,61.364,2.2516,10.74,47.33,491.82,2.16,0
73,2025-01-01 09:12:00,BLM_02,2966.0,55.966,2.4719,10.55,45.54,442.19,1.71,0
74,2025-01-01 09:13:00,BLM_02,2993.0,49.008,2.8722000000000003,8.74,46.9,473.58,1.84,0
75,2025-01-01 09:14:00,BLM_02,2957.0,74.09,3.9525,12.01,48.2,547.45,2.05,0
76,2025-01-01 09:15:00,BLM_02,2905.0,65.632,3.1828000000000003,13.59,49.18,480.12,1.53,0
77,2025-01-01 09:16:00,BLM_02,3043.0,56.42400000000001,2.4831,10.73,50.13,491.21,1.67,0
78,2025-01-01 09:17:00,BLM_03,3087.0,74.38600000000001,2.5934,9.34,47.72,518.6,1.65,0
79,2025-01-01 09:18:00,BLM_03,2861.0,73.248,1.4137,15.39,47.54,573.8,1.74,0
80,2025-01-01 09:19:00,BLM_02,2928.0,74.84,3.224,10.73,50.19,515.46,1.62,0
81,2025-01-01 09:20:00,BLM_03,2963.0,55.782,3.1543,11.8,47.14,540.55,1.89,0
82,2025-01-01 09:21:00,BLM_01,3001.0,73.884,2.7246,11.16,49.75,539.82,1.89,0
83,2025-01-01 09:22:00,BLM_02,2977.0,67.856,3.0249,9.6,43.87,484.96,1.8,0
84,2025-01-01 09:23:00,BLM_01,3119.0,75.158,1.1052,13.62,49.17,568.3,1.86,0
85,2025-01-01 09:24:00,BLM_01,2703.0,68.97,1.7655,8.85,53.28,651.32,1.64,0
86,2025-01-01 09:25:00,BLM_02,2734.0,66.38199999999999,3.7857999999999996,14.02,45.68,472.22,1.81,0
87,2025-01-01 09:26:00,BLM_03,3035.0,73.994,2.3461,12.48,51.58,510.28,1.38,0
88,2025-01-01 09:27:00,BLM_01,2892.0,71.136,3.0564,11.52,49.73,492.73,2.05,0
89,2025-01-01 09:28:00,BLM_02,3159.0,72.74799999999999,2.0067,11.55,50.19,541.08,1.66,0
90,2025-01-01 09:29:00,BLM_01,3211.0,61.76,2.217,12.82,49.67,484.7,1.67,0
91,2025-01-01 09:30:00,BLM_01,3042.0,63.972,3.8272999999999997,10.84,46.41,606.38,1.57,0
92,2025-01-01 09:31:00,BLM_01,2807.0,53.044,2.4176,12.32,44.74,613.62,1.84,0
93,2025-01-01 09:32:00,BLM_01,3190.0,61.266,2.8979,10.4,49.19,581.15,1.67,0
94,2025-01-01 09:33:00,BLM_03,3036.0,70.718,2.6182,8.13,47.69,592.11,1.96,0
95,2025-01-01 09:34:00,BLM_01,2732.0,69.14,2.6985,13.11,44.52,555.19,1.54,0
96,2025-01-01 09:35:00,BLM_01,2748.0,58.332,2.6788,16.39,46.87,598.59,1.83,1
97,2025-01-01 09:36:00,BLM_01,3273.0,74.174,1.1491,13.02,45.37,536.35,1.91,0
98,2025-01-01 09:37:00,BLM_03,3243.0,86.006,2.8594,11.91,52.79,525.86,2.0,1
99,2025-01-01 09:38:00,BLM_01,2547.0,58.878,2.1497,11.29,50.1,579.88,1.97,0
100,2025-01-01 09:39:00,BLM_01,2756.0,63.760000000000005,3.78,11.34,45.56,532.66,1.57,0
101,2025-01-01 09:40:00,BLM_03,3205.0,60.852,1.9903,11.29,49.25,646.22,1.82,0
102,2025-01-01 09:41:00,BLM_03,2997.0,64.544,2.2006,12.36,45.1,597.43,1.77,0
103,2025-01-01 09:42:00,BLM_03,3126.0,67.126,4.2409,7.7,43.46,524.91,1.54,0
104,2025-01-01 09:43:00,BLM_01,2989.0,60.327999999999996,3.0412,7.39,46.25,542.42,1.79,0
105,2025-01-01 09:44:00,BLM_03,3118.0,63.27,1.8415000000000001,12.81,47.62,543.67,1.45,0
106,2025-01-01 09:45:00,BLM_03,3001.0,65.822,2.6518,11.64,48.96,516.22,1.86,0
107,2025-01-01 09:46:00,BLM_01,2921.0,68.514,1.6821,10.23,50.17,589.98,2.1,0
108,2025-01-01 09:47:00,BLM_03,3191.0,75.48599999999999,2.7124,10.18,47.11,510.73,2.05,0
109,2025-01-01 09:48:00,BLM_01,3036.0,65.11800000000001,1.9727,11.0,49.68,545.8,1.9,0
110,2025-01-01 09:49:00,BLM_02,3117.0,61.29,3.843,11.25,44.01,515.33,1.86,0
111,2025-01-01 09:50:00,BLM_03,3028.0,70.092,2.8233,14.56,51.67,525.38,1.77,0
112,2025-01-01 09:51:00,BLM_02,2912.0,68.024,2.9036,10.07,44.09,584.59,2.34,0
113,2025-01-01 09:52:00,BLM_01,3290.0,63.876,3.1939,13.38,46.77,580.51,1.75,0
114,2025-01-01 09:53:00,BLM_03,3064.0,68.628,3.2742,13.06,46.24,534.26,1.47,0
115,2025-01-01 09:54:00,BLM_01,2936.0,62.55,2.0545,11.62,44.41,601.17,1.99,0
116,2025-01-01 09:55:00,BLM_02,3230.0,61.522,2.6048,13.38,48.83,575.78,1.92,0
117,2025-01-01 09:56:00,BLM_01,2762.0,51.934000000000005,2.2251,12.8,52.27,555.27,1.52,0
118,2025-01-01 09:57:00,BLM_03,3403.0,62.936,4.0054,9.74,43.47,590.87,1.7,0
119,2025-01-01 09:58:00,BLM_03,2968.0,52.897999999999996,0.9357,10.93,42.27,613.85,1.84,0
120,2025-01-01 09:59:00,BLM_02,2772.0,60.760000000000005,2.136,12.7,45.81,569.8,1.66,0
121,2025-01-01 10:00:00,BLM_01,3343.0,69.302,2.4763,10.92,47.41,562.29,2.03,0
122,2025-01-01 10:01:00,BLM_03,2917.0,54.704,2.6366,13.1,49.92,463.57,1.61,0
123,2025-01-01 10:02:00,BLM_02,3044.0,63.916000000000004,2.6169000000000002,14.09,46.8,561.8,1.74,0
124,2025-01-01 10:03:00,BLM_03,3129.0,65.708,2.5072,11.95,43.39,570.92,1.69,0
125,2025-01-01 10:04:00,BLM_03,3213.0,63.58,2.4275,10.91,51.21,564.15,1.91,0
126,2025-01-01 10:05:00,BLM_01,3054.0,61.882000000000005,2.7077999999999998,10.7,45.71,509.45,1.96,0
127,2025-01-01 10:06:00,BLM_03,2883.0,67.534,2.8581,11.34,49.58,519.1,1.91,0
128,2025-01-01 10:07:00,BLM_01,3039.0,68.506,3.7884,11.22,45.15,582.51,1.34,0
129,2025-01-01 10:08:00,BLM_03,2925.0,65.268,3.7887,13.56,47.54,532.54,1.84,0
130,2025-01-01 10:09:00,BLM_02,3045.0,62.28,2.749,10.94,48.89,557.99,1.92,0
131,2025-01-01 10:10:00,BLM_03,3293.0,71.312,2.1893,11.68,45.86,455.39,1.95,0
132,2025-01-01 10:11:00,BLM_01,3136.0,56.084,2.2396000000000003,13.4,49.06,549.3,1.76,0
133,2025-01-01 10:12:00,BLM_01,3037.0,70.07600000000001,1.6199000000000001,11.41,47.1,586.28,1.81,0
134,2025-01-01 10:13:00,BLM_02,3133.0,68.208,3.2102,11.2,46.86,563.59,1.66,0
135,2025-01-01 10:14:00,BLM_03,3146.0,66.66,2.5105000000000004,13.57,51.77,543.73,2.12,0
136,2025-01-01 10:15:00,BLM_03,2806.0,65.20200000000001,2.8508,14.09,48.89,502.77,1.46,0
137,2025-01-01 10:16:00,BLM_02,3008.0,52.044000000000004,2.7711,12.07,49.22,469.33,1.91,0
138,2025-01-01 10:17:00,BLM_03,3461.0,74.98599999999999,2.0513999999999997,14.99,49.84,514.84,1.55,0
139,2025-01-01 10:18:00,BLM_03,3218.0,71.14800000000001,1.9717,12.3,49.44,596.8,1.68,0
140,2025-01-01 10:19:00,BLM_01,2909.0,58.550000000000004,2.222,13.58,48.89,547.56,1.79,0
141,2025-01-01 10:20:00,BLM_03,2891.0,70.592,2.8823,15.52,51.1,581.08,1.3,0
142,2025-01-01 10:21:00,BLM_03,2885.0,66.604,2.4826,10.87,45.66,614.56,1.45,0
143,2025-01-01 10:22:00,BLM_02,3156.0,61.206,1.3029,11.06,48.37,555.59,1.4,0
144,2025-01-01 10:23:00,BLM_02,3289.0,73.628,1.8232,13.44,47.23,588.05,1.91,0
145,2025-01-01 10:24:00,BLM_01,3105.0,62.269999999999996,2.3535,11.71,48.35,601.09,2.06,0
146,2025-01-01 10:25:00,BLM_03,3028.0,74.782,2.5238,10.31,46.25,487.03,1.4,0
147,2025-01-01 10:26:00,BLM_03,2920.0,69.03399999999999,2.9040999999999997,11.37,43.94,515.72,1.76,0
148,2025-01-01 10:27:00,BLM_03,3059.0,71.99600000000001,2.5744,9.45,50.0,474.22,1.87,0
149,2025-01-01 10:28:00,BLM_01,2852.0,69.348,2.2947,12.04,54.03,468.12,1.87,0
150,2025-01-01 10:29:00,BLM_01,2652.0,69.03,2.265,12.29,50.69,527.56,2.3,0
151,2025-01-01 10:30:00,BLM_02,3295.0,66.81200000000001,2.6853000000000002,13.95,50.17,538.5,1.84,0
152,2025-01-01 10:31:00,BLM_01,2819.0,60.214,2.8356,14.12,48.64,465.75,1.57,0
153,2025-01-01 10:32:00,BLM_03,2942.0,65.746,2.3159,11.43,47.61,570.46,1.99,0
154,2025-01-01 10:33:00,BLM_03,3118.0,71.718,1.7962,15.79,47.76,528.11,2.2,0
155,2025-01-01 10:34:00,BLM_01,3258.0,70.34,2.4765,10.07,47.73,614.58,1.47,0
156,2025-01-01 10:35:00,BLM_03,3046.0,68.822,2.0968,9.48,46.38,558.27,1.93,0
157,2025-01-01 10:36:00,BLM_03,2785.0,50.644,2.7471,9.76,43.86,557.94,1.81,0
158,2025-01-01 10:37:00,BLM_01,2946.0,63.826,3.5874,9.89,48.5,540.79,1.56,0
159,2025-01-01 10:38:00,BLM_01,2878.0,63.088,1.5977000000000001,13.36,47.3,544.63,1.64,0
160,2025-01-01 10:39:00,BLM_03,2993.0,57.6,3.358,15.03,50.85,566.67,2.2,0
161,2025-01-01 10:40:00,BLM_03,3222.0,71.652,2.8783,15.1,49.85,590.76,1.99,0
162,2025-01-01 10:41:00,BLM_03,2543.0,51.144,3.3186,8.61,42.92,490.02,1.91,0
163,2025-01-01 10:42:00,BLM_02,2926.0,71.18599999999999,2.2389,13.54,52.28,512.32,1.43,0
164,2025-01-01 10:43:00,BLM_02,2913.0,74.628,1.5392,14.75,46.71,563.21,1.97,0
165,2025-01-01 10:44:00,BLM_02,2774.0,63.86,2.6795,13.8,47.1,548.25,2.08,0
166,2025-01-01 10:45:00,BLM_01,3105.0,64.812,3.5298,10.86,43.81,585.64,1.46,0
167,2025-01-01 10:46:00,BLM_02,2745.0,72.104,1.8101,12.3,48.67,519.74,1.81,0
168,2025-01-01 10:47:00,BLM_01,2766.0,59.986,1.9104,10.29,49.03,606.88,2.05,0
169,2025-01-01 10:48:00,BLM_01,3153.0,69.96799999999999,2.9607,13.35,52.28,526.73,2.02,0
170,2025-01-01 10:49:00,BLM_02,3270.0,58.92,2.1910000000000003,9.37,50.13,535.72,1.96,0
171,2025-01-01 10:50:00,BLM_02,2986.0,56.821999999999996,3.7213,13.23,46.74,599.27,1.81,0
172,2025-01-01 10:51:00,BLM_02,2781.0,67.41399999999999,3.0116,10.72,43.57,575.7,2.07,0
173,2025-01-01 10:52:00,BLM_03,2873.0,65.156,2.0519,12.65,46.56,639.2,1.84,0
174,2025-01-01 10:53:00,BLM_02,3181.0,53.298,2.1522,11.54,50.61,592.7,1.94,0
175,2025-01-01 10:54:00,BLM_03,3021.0,75.25999999999999,2.1825,11.35,47.01,608.05,1.89,0
176,2025-01-01 10:55:00,BLM_01,2982.0,62.452,2.5228,13.7,45.27,536.64,1.53,0
177,2025-01-01 10:56:00,BLM_03,3056.0,68.92399999999999,2.7631,14.75,48.42,608.65,1.57,0
178,2025-01-01 10:57:00,BLM_02,2993.0,76.59599999999999,2.7134,10.44,47.16,553.1,1.44,0
179,2025-01-01 10:58:00,BLM_01,3278.0,67.08800000000001,1.7637,12.34,46.86,450.11,1.7,0
180,2025-01-01 10:59:00,BLM_01,2865.0,74.27,3.1839999999999997,10.04,46.13,571.35,2.0,0
181,2025-01-01 11:00:00,BLM_01,2844.0,59.322,2.3543,11.17,48.27,575.21,1.88,0
182,2025-01-01 11:01:00,BLM_03,2751.0,75.31400000000001,1.9046,10.69,50.56,500.87,1.79,0
183,2025-01-01 11:02:00,BLM_02,2903.0,59.586,2.2349,9.73,49.29,566.18,2.14,0
184,2025-01-01 11:03:00,BLM_01,2803.0,61.368,3.2652,13.91,43.18,555.2,1.72,0
185,2025-01-01 11:04:00,BLM_01,3039.0,55.19,2.6854999999999998,12.19,51.88,604.58,1.94,0
186,2025-01-01 11:05:00,BLM_01,3004.0,67.252,2.7458,11.02,49.88,569.72,1.71,0
187,2025-01-01 11:06:00,BLM_03,2806.0,69.794,1.7361,11.9,48.76,550.02,1.43,0
188,2025-01-01 11:07:00,BLM_03,3106.0,70.74600000000001,2.6464,14.15,49.06,490.1,1.61,0
189,2025-01-01 11:08:00,BLM_02,3273.0,55.358,3.2567000000000004,13.85,49.46,461.51,1.61,0
190,2025-01-01 11:09:00,BLM_03,3064.0,68.0,1.297,13.0,48.97,606.95,1.44,0
191,2025-01-01 11:10:00,BLM_01,2542.0,68.262,2.2873,10.8,45.6,567.74,1.76,0
192,2025-01-01 11:11:00,BLM_02,3358.0,69.684,2.9976,12.21,49.27,539.19,1.61,0
193,2025-01-01 11:12:00,BLM_01,3134.0,59.976000000000006,2.6679,10.04,48.41,574.96,2.17,0
194,2025-01-01 11:13:00,BLM_01,3352.0,47.848,1.8482,11.84,49.04,539.33,1.74,0
195,2025-01-01 11:14:00,BLM_03,3196.0,70.34,2.8385,13.76,46.41,459.95,1.59,0
196,2025-01-01 11:15:00,BLM_02,3232.0,64.372,1.7388,14.09,50.73,595.59,1.53,0
197,2025-01-01 11:16:00,BLM_03,3037.0,67.354,1.9490999999999998,10.84,46.6,601.33,1.52,0
198,2025-01-01 11:17:00,BLM_03,2953.0,64.736,2.0294,13.5,47.88,535.21,2.02,0
199,2025-01-01 11:18:00,BLM_02,3067.0,67.038,3.6397,13.13,46.73,548.13,2.04,0
200,2025-01-01 11:19:00,BLM_01,2872.0,70.56,1.3900000000000001,11.57,45.51,522.41,1.3,0
201,2025-01-01 11:20:00,BLM_01,3078.0,52.402,1.4403,13.34,49.79,633.01,2.34,0
202,2025-01-01 11:21:00,BLM_02,2527.0,73.39399999999999,2.7606,14.21,46.75,604.18,1.82,0
203,2025-01-01 11:22:00,BLM_01,3008.0,64.136,2.6309,13.53,48.37,513.45,2.06,0
204,2025-01-01 11:23:00,BLM_02,3242.0,76.798,2.2312,10.1,44.53,577.23,1.6,0
205,2025-01-01 11:24:00,BLM_02,3017.0,62.19,2.5715,11.5,43.46,510.53,1.55,0
206,2025-01-01 11:25:00,BLM_03,3311.0,60.641999999999996,1.8118,12.72,52.33,513.42,1.74,0
207,2025-01-01 11:26:00,BLM_02,2953.0,64.374,2.6221,10.55,51.97,530.07,1.89,0
208,2025-01-01 11:27:00,BLM_03,3180.0,68.916,2.7123999999999997,14.8,46.49,522.65,1.85,0
209,2025-01-01 11:28:00,BLM_01,2842.0,63.498,3.4127,12.56,49.14,479.84,2.09,0
210,2025-01-01 11:29:00,BLM_01,3173.0,69.43,3.903,11.18,46.89,609.69,1.36,0
211,2025-01-01 11:30:00,BLM_01,3042.0,62.711999999999996,2.3733,11.07,49.67,559.51,2.03,0
212,2025-01-01 11:31:00,BLM_01,2960.0,65.664,1.6736000000000002,10.75,45.3,619.92,1.93,0
213,2025-01-01 11:32:00,BLM_03,2537.0,81.086,2.8339,13.27,45.06,542.52,1.88,0
214,2025-01-01 11:33:00,BLM_01,2954.0,67.928,2.4742,13.48,48.05,483.96,1.46,0
215,2025-01-01 11:34:00,BLM_02,3038.0,68.49000000000001,2.4444999999999997,10.81,48.96,596.14,1.6,0
216,2025-01-01 11:35:00,BLM_02,3149.0,55.122,1.4348,14.64,46.25,561.77,1.96,0
217,2025-01-01 11:36:00,BLM_02,3281.0,74.914,2.6351,11.3,44.74,538.05,1.19,0
218,2025-01-01 11:37:00,BLM_03,3366.0,72.906,2.8653999999999997,10.57,51.15,604.22,1.33,0
219,2025-01-01 11:38:00,BLM_01,3224.0,60.438,3.2657000000000003,12.86,46.84,489.56,1.91,0
220,2025-01-01 11:39:00,BLM_01,2899.0,72.77,2.2159999999999997,9.84,46.86,594.15,1.94,0
221,2025-01-01 11:40:00,BLM_01,2945.0,67.752,1.9863,9.54,51.08,582.31,1.61,0
222,2025-01-01 11:41:00,BLM_03,3133.0,65.764,2.2066000000000003,10.28,53.6,560.41,1.61,0
223,2025-01-01 11:42:00,BLM_02,3094.0,74.486,3.2169,10.59,48.82,483.49,2.04,0
224,2025-01-01 11:43:00,BLM_02,3293.0,61.858,3.5372000000000003,13.35,50.2,592.21,2.02,0
225,2025-01-01 11:44:00,BLM_01,3446.0,60.39,3.3474999999999997,9.67,45.15,583.49,1.72,0
226,2025-01-01 11:45:00,BLM_02,3408.0,66.902,3.0178000000000003,12.66,49.83,561.97,1.49,0
227,2025-01-01 11:46:00,BLM_02,3269.0,69.154,2.5481,13.51,50.14,547.54,2.17,0
228,2025-01-01 11:47:00,BLM_03,3095.0,72.21600000000001,2.6584,14.6,45.61,499.21,1.48,0
229,2025-01-01 11:48:00,BLM_03,3243.0,64.398,2.7587,11.11,46.66,499.6,1.97,0
230,2025-01-01 11:49:00,BLM_03,3299.0,59.51,2.389,11.26,51.06,515.11,2.1,0
231,2025-01-01 11:50:00,BLM_03,2973.0,83.162,3.1893000000000002,15.67,47.31,479.11,1.8,0
232,2025-01-01 11:51:00,BLM_01,2904.0,57.854,1.4096000000000002,14.44,51.56,480.61,1.65,0
233,2025-01-01 11:52:00,BLM_03,2862.0,65.856,1.5399,11.51,48.05,530.03,1.4,0
234,2025-01-01 11:53:00,BLM_02,2842.0,70.928,1.4102000000000001,14.06,47.93,490.0,1.82,0
235,2025-01-01 11:54:00,BLM_01,2751.0,73.53,2.0105,12.45,50.44,539.54,1.43,0
236,2025-01-01 11:55:00,BLM_02,3045.0,61.502,3.5108,12.03,53.13,552.95,1.88,0
237,2025-01-01 11:56:00,BLM_02,2820.0,52.354,1.7410999999999999,16.47,49.65,484.8,1.29,1
238,2025-01-01 11:57:00,BLM_02,2859.0,61.346,1.7613999999999999,13.93,48.44,587.24,1.38,0
239,2025-01-01 11:58:00,BLM_03,3126.0,71.508,1.9917,15.4,51.17,595.49,1.83,0
240,2025-01-01 11:59:00,BLM_03,3033.0,69.94,3.352,10.09,51.34,451.64,2.01,0
241,2025-01-01 12:00:00,BLM_01,3077.0,70.172,3.5723,15.24,49.34,610.86,1.73,0
242,2025-01-01 12:01:00,BLM_01,3246.0,70.464,3.2826,11.72,48.95,575.17,2.06,0
243,2025-01-01 12:02:00,BLM_03,3156.0,74.866,3.3229,11.7,49.75,554.22,1.66,0
244,2025-01-01 12:03:00,BLM_02,3273.0,60.058,3.7332,12.7,44.42,615.81,2.34,0
245,2025-01-01 12:04:00,BLM_01,3014.0,57.1,1.3135,12.92,45.38,554.78,1.47,0
246,2025-01-01 12:05:00,BLM_03,3290.0,68.08200000000001,1.7138,13.9,48.6,514.89,1.62,0
247,2025-01-01 12:06:00,BLM_03,3065.0,58.153999999999996,2.0841,13.59,46.07,482.84,2.14,0
248,2025-01-01 12:07:00,BLM_03,3030.0,56.666000000000004,2.6443999999999996,10.82,48.09,544.71,1.74,0
249,2025-01-01 12:08:00,BLM_02,3263.0,74.068,2.6447,10.21,48.51,544.55,2.04,0
250,2025-01-01 12:09:00,BLM_03,2843.0,67.25,2.6550000000000002,11.66,45.55,473.33,1.47,0
251,2025-01-01 12:10:00,BLM_03,3364.0,65.702,3.1553,11.98,49.49,533.9,1.56,0
252,2025-01-01 12:11:00,BLM_03,2949.0,65.84400000000001,1.2355999999999998,12.16,43.24,619.09,1.95,0
253,2025-01-01 12:12:00,BLM_03,2781.0,64.766,2.4758999999999998,14.46,47.2,572.7,1.44,0
